Date,Datum
2000 Q2,2000/06/30
2000 Q3,2000/09/30
2000 Q4,2000/12/31
2001 Q1,2001/03/31
2001 Q2,2001/06/30
2001 Q3,2001/09/30
2001 Q4,2001/12/31
2002 Q1,2002/03/31
2002 Q2,2002/06/30
2002 Q3,2002/09/30
2002 Q4,2002/12/31
2003 Q1,2003/03/31
2003 Q2,2003/06/30
2003 Q3,2003/09/30
2003 Q4,2003/12/31
2004 Q1,2004/03/31
2004 Q2,2004/06/30
2004 Q3,2004/09/30
2004 Q4,2004/12/31
2005 Q1,2005/03/31
2005 Q2,2005/06/30
2005 Q3,2005/09/30
2005 Q4,2005/12/31
2006 Q1,2006/03/31
2006 Q2,2006/06/30
2006 Q3,2006/09/30
2006 Q4,2006/12/31
2007 Q1,2007/03/31
2007 Q2,2007/06/30
2007 Q3,2007/09/30
2007 Q4,2007/12/31
2008 Q1,2008/03/31
2008 Q2,2008/06/30
2008 Q3,2008/09/30
2008 Q4,2008/12/31
2009 Q1,2009/03/31
2009 Q2,2009/06/30
2009 Q3,2009/09/30
2009 Q4,2009/12/31
2010 Q1,2010/03/31
2010 Q2,2010/06/30
2010 Q3,2010/09/30
2010 Q4,2010/12/31
2011 Q1,2011/03/31
2011 Q2,2011/06/30
2011 Q3,2011/09/30
2011 Q4,2011/12/31
2012 Q1,2012/03/31
2012 Q2,2012/06/30
2012 Q3,2012/09/30
2012 Q4,2012/12/31
2013 Q1,2013/03/31
2013 Q2,2013/06/30
2013 Q3,2013/09/30
2013 Q4,2013/12/31
2014 Q1,2014/03/31
2014 Q2,2014/06/30
2014 Q3,2014/09/30
2014 Q4,2014/12/31
2015 Q1,2015/03/31
2015 Q2,2015/06/30
2015 Q3,2015/09/30
2015 Q4,2015/12/31
