,Date,Repeat Sales,ps.RS(1%),ps.RS(0.1%),ps.RS(nearest)
1,2000Q2,NA,82.76174169,69.47270386,65.05519294
2,2000Q3,NA,63.01318449,71.84908917,NA
3,2000Q4,100,82.16669213,67.80077627,93.39893881
4,2001Q1,100,63.87590518,52.20172135,72.90854291
5,2001Q2,140.6096591,70.20551132,59.67626604,87.18753693
6,2001Q3,83.3464322,56.0898823,46.12012219,72.3239778
7,2001Q4,71.67360535,64.42040317,56.73884274,84.03814584
8,2002Q1,170.1906213,57.84957277,52.0715347,84.73350768
9,2002Q2,94.39458898,77.46951912,63.83336986,97.67228311
10,2002Q3,NA,78.00386601,68.26179405,105.6775902
11,2002Q4,110.7085384,70.09884699,62.93925122,88.1687561
12,2003Q1,139.1975001,66.81397031,54.77445478,108.7304312
13,2003Q2,162.779982,79.26854996,76.93655653,108.3703028
14,2003Q3,NA,65.9927326,71.46816668,95.50040342
15,2003Q4,98.20814208,81.63865579,74.08267931,117.1979788
16,2004Q1,126.7384607,89.36750442,85.31817281,116.6688667
17,2004Q2,191.6864376,93.257174,84.22512785,128.5060839
18,2004Q3,NA,95.2548081,94.13872316,104.6551927
19,2004Q4,174.5382392,100.7206208,93.53661293,134.5099339
20,2005Q1,163.3144659,103.4785206,110.7252116,150.9114148
21,2005Q2,151.1571055,108.6554863,95.47704439,149.758723
22,2005Q3,255.8089059,128.9321778,116.5996527,179.7164232
23,2005Q4,190.8203463,130.022811,117.6694693,180.8397521
24,2006Q1,282.7918891,191.3342281,179.1176181,242.4511304
25,2006Q2,860.7949706,196.1966531,208.4393961,315.8762466
26,2006Q3,251.0205673,198.0382012,175.689902,272.0947173
27,2006Q4,256.5164928,202.4912753,203.3104793,364.1755544
28,2007Q1,NA,279.4626275,231.9098671,363.6008828
29,2007Q2,293.5008869,251.898434,221.3922255,337.8219355
30,2007Q3,359.7740693,294.0981378,251.2078782,387.8763447
31,2007Q4,398.9731895,315.3022449,275.62684,396.7889302
32,2008Q1,337.0428963,326.8959364,280.6131991,394.1666704
33,2008Q2,334.3879163,306.6411365,273.2774725,390.6133496
34,2008Q3,229.781767,300.1034546,266.9135483,375.791869
35,2008Q4,550.7565681,280.0071801,210.0345523,338.0952748
36,2009Q1,462.0031857,273.0750876,250.2266642,341.5631424
37,2009Q2,590.5151034,267.2416147,242.5160506,354.0094952
38,2009Q3,455.3316559,252.8288702,226.9045669,368.5614288
39,2009Q4,375.1982842,257.2887644,234.4493028,337.2714724
40,2010Q1,406.6712557,279.8093476,280.2141341,426.0437168
41,2010Q2,501.5639741,241.4165082,206.3879758,290.9207619
42,2010Q3,485.2620819,262.5285079,244.8125169,363.7654069
43,2010Q4,458.788739,239.5907648,217.6790769,325.1710902
44,2011Q1,418.1822202,231.7941978,204.5905979,307.6492409
45,2011Q2,443.5847977,243.171808,214.0422764,325.0542019
46,2011Q3,398.5587908,231.0799012,201.5468464,296.0533901
47,2011Q4,463.2787731,213.4618523,204.8679271,301.2240015
48,2012Q1,505.93727,211.9301774,201.0514455,308.063805
49,2012Q2,494.489673,220.0295674,214.9298659,317.2937805
50,2012Q3,462.4702088,210.7372613,205.8131834,303.2645061
51,2012Q4,549.278624,222.6372829,218.7957954,311.079496
52,2013Q1,423.4710243,229.1791808,230.9496706,327.0896794
53,2013Q2,424.3091094,221.5501544,209.0144755,283.9298149
54,2013Q3,504.8258642,237.6526445,218.863403,299.8133066
55,2013Q4,436.3357526,241.0274216,217.1037241,313.3993471
56,2014Q1,566.8989258,234.4835359,210.8110439,328.2060153
57,2014Q2,496.7978128,242.5399914,209.0934761,309.3825734
58,2014Q3,549.4040688,243.1572348,214.3944342,295.5967707
59,2014Q4,437.4768779,219.0792892,201.6489519,282.9842214
60,2015Q1,670.9188694,224.5005257,208.6883968,313.3199211
61,2015Q2,509.7730553,224.0556696,205.2020571,300.6645209
62,2015Q3,511.6947974,214.2000672,183.3175203,271.4897467
63,2015Q4,514.20597,206.5206955,191.4813222,258.4248706
