"","artist","date","year","month","quarter","half","auction_house","ah_code","title","medium","med_group","med_code","signed","dum_signed","dum_dated","dum_titled","price","size_framed","area","price_area","er","pound_price","nr_works","hammer_price","timedummy","lnprice","lnarea","lnarea2","lnsculpt_area","counter","rank_all","rank_total","reputation","lnrep","id"
"93","After Tretchikoff, Vladimir",2009-11-08,2009,11,4,2,"Bernardi","Bernardi","Music makers","Print in colours","Print/woodcut","Print/Woodcut","signed in the image signed again & dated 69 ","1","1","0",800,"44cm x 89.5cm",3938,0.2,NA,NA,3,2400,"2009 Q4",6.68461172766793,8.27842825919907,68.5323744427058,0,40,155,374,0.383090088435383,-0.95948509961392,928
"94","After Tretchikoff, Vladimir",2009-11-08,2009,11,4,2,"Bernardi","Bernardi","Music makers","Print in colours","Print/woodcut","Print/Woodcut","signed in the image signed again & dated 69 ","1","1","0",800,"44cm x 89.5cm",3938,0.2,NA,NA,3,2400,"2009 Q4",6.68461172766793,8.27842825919907,68.5323744427058,0,40,155,374,0.383090088435383,-0.95948509961392,928
"99","After Tretchikoff, Vladimir",2009-11-08,2009,11,4,2,"Bernardi","Bernardi","Music makers","Print in colours","Print/woodcut","Print/Woodcut","signed in the image signed again & dated 69 ","1","1","0",800,"44cm x 89.5cm",3938,0.2,NA,NA,3,2400,"2009 Q4",6.68461172766793,8.27842825919907,68.5323744427058,0,40,155,374,0.383090088435383,-0.95948509961392,928
"127","Agostinelli, Mario",2011-09-17,2011,9,3,2,"Russell Kaplan","Russell Kaplan","Male torso","bronze","Sculpture","Sculpture","signed","1","0","0",10500,"58cm height",58,181.03,NA,NA,1,10500,"2011 Q3",9.25913053614561,4.06044301054642,16.4871974418953,4.06044301054642,47,172,1315,0.291386612139106,-1.23310432951906,52
"128","Agostinelli, Mario",2011-09-17,2011,9,3,2,"Russell Kaplan","Russell Kaplan","Male torso","bronze","Sculpture","Sculpture","signed","1","0","0",10500,"58cm height",58,181.03,NA,NA,1,10500,"2011 Q3",9.25913053614561,4.06044301054642,16.4871974418953,4.06044301054642,47,172,1315,0.291386612139106,-1.23310432951906,52
"173","Albertyn, Michael",2010-12-02,2010,12,4,2,"Ashbeys","Ashbeys","Mpumalanga Landscape with aloes in foreground","oil on canvas","Oil","Oil","signed","1","0","0",6000,"60cm x 90cm",5400,1.11,NA,NA,1,6000,"2010 Q4",8.69951474821019,8.59415423255237,73.8594869728978,0,44,124,189,0.0673991062925856,-2.69712352090571,582
"183","Albertyn, Michael",2008-05-26,2008,5,2,1,"5th avenue ","5th Avenue","Seascape","Oil","Oil","Oil","Signed","1","0","0",5000,"60cm x 90cm",5400,0.93,NA,NA,1,5000,"2008 Q2",8.51719319141624,8.59415423255237,73.8594869728978,0,34,124,189,0.0673991062925856,-2.69712352090571,584
"189","Albertyn, Michael",2011-11-13,2011,11,4,2,"5th Avenue","5th Avenue","Seascape","Oil","Oil","Oil","signed","1","0","0",3600,"60cm x 90cm",5400,0.67,NA,NA,1,3600,"2011 Q4",8.1886891244442,8.59415423255237,73.8594869728978,0,48,124,189,0.0673991062925856,-2.69712352090571,584
"196","Albertyn, Michael",2014-07-13,2014,7,3,2,"5th Avenue","5th Avenue","Mountain Landscape with Vineyards","Oil","Oil","Oil","signed","1","0","0",6000,"60cm x 90cm",5400,1.11,NA,NA,1,6000,"2014 Q3",8.69951474821019,8.59415423255237,73.8594869728978,0,59,124,189,0.0673991062925856,-2.69712352090571,581
"198","Albertyn, Michael",2014-07-13,2014,7,3,2,"5th Avenue","5th Avenue","Mountain Landscape with Vineyards","Oil","Oil","Oil","signed","1","0","0",7000,"60cm x 90cm",5400,1.3,NA,NA,1,7000,"2014 Q3",8.85366542803745,8.59415423255237,73.8594869728978,0,59,124,189,0.0673991062925856,-2.69712352090571,581
"199","Albertyn, Michael",2011-02-24,2011,2,1,1,"Ashbeys","Ashbeys","Mpumalanga Landscape with aloes in foreground","oil on canvas","Oil","Oil","signed","1","0","0",6000,"60cm x 90cm",5400,1.11,NA,NA,1,6000,"2011 Q1",8.69951474821019,8.59415423255237,73.8594869728978,0,45,124,189,0.0673991062925856,-2.69712352090571,582
"209","Albertyn, Michael",2014-07-13,2014,7,3,2,"5th Avenue","5th Avenue","Seascape","Oil","Oil","Oil","signed","1","0","0",4000,"60cm x 90cm",5400,0.74,NA,NA,1,4000,"2014 Q3",8.29404964010203,8.59415423255237,73.8594869728978,0,59,124,189,0.0673991062925856,-2.69712352090571,584
"245","Alexander, Jane",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","something's going down, 1993-94","synthetic clay, oil paint, wood, aluminium, leather and prints.  ","Mixed media","Mixed Media","Signed, dated and inscribed with the title on the underside","1","1","1",720000,"135cm x 132cm x 38,5cm",17820,40.4,NA,NA,1,720000,"2011 Q3",13.4870064909922,9.7880767010248,95.8064455051446,0,47,153,351,4.02683010065927,1.39297949092696,995
"263","Alexander, Jane",2011-09-26,2011,9,3,2,"Strauss & Co","Strauss","something's going down, 1993-94","synthetic clay, oil paint, wood, aluminium, leather and prints.  ","Mixed media","Mixed Media","signed, dated and inscribed with the title on the underside","1","1","1",720000,"135cm x 132cm x 38.5cm",17820,40.4,NA,NA,1,720000,"2011 Q3",13.4870064909922,9.7880767010248,95.8064455051446,0,47,153,351,4.02683010065927,1.39297949092696,995
"348","Allen, Ray",2011-09-19,2011,9,3,2,"Bernardi","Bernardi","Camp's Bay ","Etching","Print/woodcut","Print/Woodcut","signed in pencil inscribed with the title & numbered 61/100","1","0","1",850,"16.5cm x 21cm",347,2.45,NA,NA,1,850,"2011 Q3",6.74523634948436,5.84932477994686,34.2146003813004,0,47,172,1319,0.460375434757502,-0.775712959862204,89
"349","Allen, Ray",2011-09-19,2011,9,3,2,"Bernardi","Bernardi","Camp's Bay ","Etching","Print/woodcut","Print/Woodcut","signed in pencil inscribed with the title & numbered 61/100","1","0","1",850,"16.5cm x 21cm",347,2.45,NA,NA,1,850,"2011 Q3",6.74523634948436,5.84932477994686,34.2146003813004,0,47,172,1319,0.460375434757502,-0.775712959862204,89
